18.209.13.229 - - [06/Aug/2023:21:02:05 +0000] "GET / HTTP/1.1" 200 17 "-" "python-requests/2.28.2" "18.209.13.229" response-time=5.153
104.35.238.164 - - [06/Aug/2023:21:02:12 +0000] "GET / HTTP/1.1" 200 17 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.000
104.35.238.164 - - [06/Aug/2023:21:02:12 +0000] "GET /favicon.ico HTTP/1.1" 404 207 "https://residentsdoingthings.pythonanywhere.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.002
104.35.238.164 - - [06/Aug/2023:21:02:17 +0000] "GET / HTTP/1.1" 200 17 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.001
54.160.249.109 - - [06/Aug/2023:21:02:26 +0000] "GET / HTTP/1.1" 200 17 "-" "python-requests/2.28.1" "54.160.249.109" response-time=0.003
104.35.238.164 - - [06/Aug/2023:21:02:29 +0000] "GET / HTTP/1.1" 200 17 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.002
104.35.238.164 - - [06/Aug/2023:21:02:31 +0000] "GET / HTTP/1.1" 200 17 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.001
134.209.0.56 - - [06/Aug/2023:21:02:33 +0000] "GET / HTTP/1.1" 200 17 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36" "134.209.0.56" response-time=0.000
104.35.238.164 - - [06/Aug/2023:21:04:43 +0000] "GET / HTTP/1.1" 200 17 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.001
54.160.249.109 - - [06/Aug/2023:21:05:11 +0000] "GET / HTTP/1.1" 200 1707 "-" "python-requests/2.28.1" "54.160.249.109" response-time=0.018
104.35.238.164 - - [06/Aug/2023:21:05:14 +0000] "GET / HTTP/1.1" 200 1707 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.002
